year,month,place,state,rainfall_mm,rainfall_3day,temperature_c,humidity_percent,elevation_m,soil_type,slope_deg,flood
2025,4,Kochi,Kerala,37.77,17.98,31.6,76.6,0,Alluvial,1,0
2015,5,Kochi,Kerala,36.4,11.41,33.2,68.1,0,Alluvial,1,1
2016,5,Kochi,Kerala,21.1,8.34,29.6,55.1,0,Alluvial,1,0
2017,5,Kochi,Kerala,133.8,30.52,27.9,64.4,0,Alluvial,1,0
2018,5,Kochi,Kerala,73.32,21.04,26.2,71.1,0,Alluvial,1,0
2019,5,Kochi,Kerala,77.44,36.88,30.8,63.6,0,Alluvial,1,0
2020,5,Kochi,Kerala,10.0,2.57,30.4,46.0,0,Alluvial,1,0
2021,5,Kochi,Kerala,16.13,3.82,28.9,79.1,0,Alluvial,1,0
2022,5,Kochi,Kerala,10.0,2.41,28.8,51.1,0,Alluvial,1,0
2023,5,Kochi,Kerala,96.69,32.42,26.5,46.9,0,Alluvial,1,0
2024,5,Kochi,Kerala,38.82,14.4,29.9,58.0,0,Alluvial,1,0
2025,5,Kochi,Kerala,213.95,52.09,33.1,65.0,0,Alluvial,1,0
2015,6,Kochi,Kerala,239.64,73.52,24.8,88.8,0,Alluvial,1,1
2016,6,Kochi,Kerala,253.77,76.44,30.4,74.8,0,Alluvial,1,1
2017,6,Kochi,Kerala,317.51,146.91,23.5,95.8,0,Alluvial,1,1
2018,6,Kochi,Kerala,32.66,13.06,27.4,55.0,0,Alluvial,1,0
2019,6,Kochi,Kerala,333.8,140.41,29.2,84.1,0,Alluvial,1,1
2020,6,Kochi,Kerala,151.89,55.72,26.6,57.5,0,Alluvial,1,0
2021,6,Kochi,Kerala,101.46,40.44,24.9,71.1,0,Alluvial,1,0
2022,6,Kochi,Kerala,338.3,151.01,26.7,97.3,0,Alluvial,1,1
2023,6,Kochi,Kerala,160.77,61.26,27.8,49.7,0,Alluvial,1,0
2024,6,Kochi,Kerala,377.25,108.54,25.3,81.2,0,Alluvial,1,1
2025,6,Kochi,Kerala,156.09,50.72,26.9,39.4,0,Alluvial,1,0
2015,7,Kochi,Kerala,176.24,42.45,25.4,78.7,0,Alluvial,1,1
2016,7,Kochi,Kerala,106.87,22.4,29.9,70.7,0,Alluvial,1,0
2017,7,Kochi,Kerala,379.61,169.55,26.9,89.7,0,Alluvial,1,1
2018,7,Kochi,Kerala,10.0,4.0,24.7,70.9,0,Alluvial,1,0
2019,7,Kochi,Kerala,10.0,3.82,30.8,43.9,0,Alluvial,1,0
2020,7,Kochi,Kerala,64.72,27.99,23.8,41.7,0,Alluvial,1,0
2021,7,Kochi,Kerala,118.97,46.0,28.7,54.9,0,Alluvial,1,0
2022,7,Kochi,Kerala,410.74,111.74,24.2,94.2,0,Alluvial,1,1
2023,7,Kochi,Kerala,229.23,105.16,25.9,39.1,0,Alluvial,1,0
2024,7,Kochi,Kerala,302.53,137.36,26.3,61.3,0,Alluvial,1,0
2025,7,Kochi,Kerala,176.55,46.69,30.6,58.4,0,Alluvial,1,0
2015,8,Kochi,Kerala,107.21,44.28,26.1,84.2,0,Alluvial,1,1
2016,8,Kochi,Kerala,104.37,27.29,26.7,74.9,0,Alluvial,1,0
2017,8,Kochi,Kerala,215.68,104.56,24.3,93.9,0,Alluvial,1,1
2018,8,Kochi,Kerala,261.43,56.45,23.5,70.1,0,Alluvial,1,0
2019,8,Kochi,Kerala,299.56,114.36,23.9,52.5,0,Alluvial,1,0
2020,8,Kochi,Kerala,300.22,108.91,24.1,44.0,0,Alluvial,1,0
2021,8,Kochi,Kerala,171.55,60.3,24.9,56.3,0,Alluvial,1,0
2022,8,Kochi,Kerala,192.83,41.84,29.7,77.0,0,Alluvial,1,1
2023,8,Kochi,Kerala,76.73,19.8,25.5,87.7,0,Alluvial,1,0
2024,8,Kochi,Kerala,141.45,66.6,29.8,25.9,0,Alluvial,1,0
2025,8,Kochi,Kerala,219.56,78.55,23.1,45.4,0,Alluvial,1,0
2015,9,Kochi,Kerala,11.43,4.34,32.4,66.3,0,Alluvial,1,1
2016,9,Kochi,Kerala,113.49,32.14,27.4,48.9,0,Alluvial,1,0
2017,9,Kochi,Kerala,53.87,15.07,31.3,75.0,0,Alluvial,1,0
2018,9,Kochi,Kerala,10.0,4.64,27.8,69.6,0,Alluvial,1,0
2019,9,Kochi,Kerala,167.94,51.94,30.9,45.1,0,Alluvial,1,0
2020,9,Kochi,Kerala,10.0,3.14,26.9,62.8,0,Alluvial,1,0
2021,9,Kochi,Kerala,118.25,31.79,26.3,68.1,0,Alluvial,1,0
2022,9,Kochi,Kerala,95.39,19.99,32.2,76.5,0,Alluvial,1,0
2023,9,Kochi,Kerala,281.21,77.46,33.6,54.6,0,Alluvial,1,0
2024,9,Kochi,Kerala,81.7,36.68,32.3,63.2,0,Alluvial,1,0
2025,9,Kochi,Kerala,237.34,117.24,29.7,84.8,0,Alluvial,1,0
2015,10,Kochi,Kerala,386.97,91.54,25.9,75.2,0,Alluvial,1,1
2016,10,Kochi,Kerala,339.53,161.23,26.5,92.5,0,Alluvial,1,1
2017,10,Kochi,Kerala,67.77,30.82,24.8,54.5,0,Alluvial,1,0
2018,10,Kochi,Kerala,296.36,146.97,25.4,89.5,0,Alluvial,1,1
2019,10,Kochi,Kerala,375.15,140.86,30.4,89.7,0,Alluvial,1,1
2020,10,Kochi,Kerala,29.95,11.56,24.1,57.4,0,Alluvial,1,0
2021,10,Kochi,Kerala,92.35,23.27,28.2,80.3,0,Alluvial,1,1
2022,10,Kochi,Kerala,176.33,38.7,23.9,76.0,0,Alluvial,1,1
2023,10,Kochi,Kerala,257.77,100.85,27.5,95.0,0,Alluvial,1,1
2024,10,Kochi,Kerala,387.67,93.85,23.5,74.8,0,Alluvial,1,1
2025,10,Kochi,Kerala,289.74,94.46,24.1,76.4,0,Alluvial,1,1
2015,11,Kochi,Kerala,448.14,132.65,25.9,89.6,0,Alluvial,1,1
2016,11,Kochi,Kerala,45.87,13.82,23.5,77.2,0,Alluvial,1,0
2017,11,Kochi,Kerala,140.18,55.39,30.3,42.7,0,Alluvial,1,0
2018,11,Kochi,Kerala,253.18,107.71,26.0,87.3,0,Alluvial,1,0
2019,11,Kochi,Kerala,157.61,54.6,25.0,79.7,0,Alluvial,1,1
2020,11,Kochi,Kerala,236.75,95.89,25.6,90.4,0,Alluvial,1,1
2021,11,Kochi,Kerala,151.0,53.14,27.0,82.1,0,Alluvial,1,1
2022,11,Kochi,Kerala,336.45,123.32,23.5,74.9,0,Alluvial,1,1
2023,11,Kochi,Kerala,316.11,140.3,23.5,82.1,0,Alluvial,1,1
2024,11,Kochi,Kerala,172.09,37.24,29.7,50.6,0,Alluvial,1,0
2025,11,Kochi,Kerala,129.47,30.51,24.1,91.5,0,Alluvial,1,0
2015,12,Kochi,Kerala,143.64,70.92,32.6,55.4,0,Alluvial,1,0
2016,12,Kochi,Kerala,330.38,66.58,32.4,98.4,0,Alluvial,1,1
2017,12,Kochi,Kerala,260.72,127.58,32.8,66.7,0,Alluvial,1,0
2018,12,Kochi,Kerala,151.04,51.54,26.6,50.0,0,Alluvial,1,0
2019,12,Kochi,Kerala,10.0,3.96,27.0,44.5,0,Alluvial,1,0
2020,12,Kochi,Kerala,184.0,78.86,26.2,53.6,0,Alluvial,1,0
2021,12,Kochi,Kerala,127.52,38.87,29.0,61.5,0,Alluvial,1,0
2022,12,Kochi,Kerala,20.12,5.93,29.7,59.2,0,Alluvial,1,0
2023,12,Kochi,Kerala,119.06,43.58,30.8,49.6,0,Alluvial,1,0
2024,12,Kochi,Kerala,10.0,3.04,30.4,52.0,0,Alluvial,1,0
2025,12,Kochi,Kerala,71.69,35.72,28.5,36.3,0,Alluvial,1,0
2015,1,Guwahati,Assam,223.8,100.94,31.8,53.2,55,Alluvial,5,0
2016,1,Guwahati,Assam,86.99,39.48,32.1,52.5,55,Alluvial,5,0
2017,1,Guwahati,Assam,179.12,64.76,28.7,57.6,55,Alluvial,5,0
2018,1,Guwahati,Assam,101.4,21.96,33.8,37.1,55,Alluvial,5,0
2019,1,Guwahati,Assam,31.51,11.68,31.4,51.0,55,Alluvial,5,0
2020,1,Guwahati,Assam,233.11,84.03,29.8,83.6,55,Alluvial,5,0
2021,1,Guwahati,Assam,99.63,40.54,26.6,64.9,55,Alluvial,5,0
2022,1,Guwahati,Assam,284.38,69.41,31.0,88.8,55,Alluvial,5,1
2023,1,Guwahati,Assam,58.76,20.76,31.0,31.8,55,Alluvial,5,0
2024,1,Guwahati,Assam,319.69,137.09,26.2,33.7,55,Alluvial,5,0
2025,1,Guwahati,Assam,230.95,87.15,32.9,60.6,55,Alluvial,5,0
2015,2,Guwahati,Assam,226.62,101.87,28.7,100.0,55,Alluvial,5,1
2016,2,Guwahati,Assam,107.68,38.41,28.5,73.9,55,Alluvial,5,0
2017,2,Guwahati,Assam,213.89,81.75,30.6,78.6,55,Alluvial,5,0
2018,2,Guwahati,Assam,110.08,52.95,27.8,56.1,55,Alluvial,5,0
2019,2,Guwahati,Assam,164.63,42.94,27.4,78.9,55,Alluvial,5,1
2020,2,Guwahati,Assam,47.12,14.05,30.0,42.2,55,Alluvial,5,0
2021,2,Guwahati,Assam,371.62,109.74,32.2,85.0,55,Alluvial,5,1
2022,2,Guwahati,Assam,38.15,16.44,28.6,78.0,55,Alluvial,5,0
2023,2,Guwahati,Assam,142.55,59.18,29.1,62.9,55,Alluvial,5,0
2024,2,Guwahati,Assam,119.32,35.83,26.2,28.4,55,Alluvial,5,0
2025,2,Guwahati,Assam,158.87,39.13,28.3,55.3,55,Alluvial,5,0
2015,3,Guwahati,Assam,29.87,10.15,31.3,100.0,55,Alluvial,5,0
2016,3,Guwahati,Assam,82.87,28.77,30.7,75.5,55,Alluvial,5,0
2017,3,Guwahati,Assam,208.76,58.78,27.7,76.9,55,Alluvial,5,0
2018,3,Guwahati,Assam,571.49,284.93,28.0,92.5,55,Alluvial,5,1
2019,3,Guwahati,Assam,10.0,4.09,28.4,40.0,55,Alluvial,5,0
2020,3,Guwahati,Assam,153.6,71.13,28.0,61.4,55,Alluvial,5,0
2021,3,Guwahati,Assam,283.39,95.47,27.5,86.9,55,Alluvial,5,1
2022,3,Guwahati,Assam,149.93,72.8,28.6,61.5,55,Alluvial,5,0
2023,3,Guwahati,Assam,189.42,73.76,26.9,69.6,55,Alluvial,5,0
2024,3,Guwahati,Assam,329.64,101.91,30.8,80.4,55,Alluvial,5,1
2025,3,Guwahati,Assam,24.96,11.73,31.9,66.3,55,Alluvial,5,0
2015,4,Guwahati,Assam,10.0,2.71,30.3,53.7,55,Alluvial,5,0
2016,4,Guwahati,Assam,102.04,27.42,32.3,51.8,55,Alluvial,5,0
2017,4,Guwahati,Assam,167.27,61.5,26.3,53.4,55,Alluvial,5,0
2018,4,Guwahati,Assam,122.47,51.52,29.0,64.1,55,Alluvial,5,0
2019,4,Guwahati,Assam,229.63,68.82,33.7,59.0,55,Alluvial,5,0
2020,4,Guwahati,Assam,11.93,4.92,30.2,65.6,55,Alluvial,5,0
2021,4,Guwahati,Assam,190.33,62.98,27.3,87.3,55,Alluvial,5,1
2022,4,Guwahati,Assam,190.71,85.51,26.2,62.6,55,Alluvial,5,0
2023,4,Guwahati,Assam,243.41,62.48,26.5,88.4,55,Alluvial,5,1
2024,4,Guwahati,Assam,141.19,60.5,30.5,59.9,55,Alluvial,5,0
2025,4,Guwahati,Assam,238.46,94.12,26.2,69.3,55,Alluvial,5,0
2015,5,Guwahati,Assam,131.17,63.69,26.9,69.6,55,Alluvial,5,0
2016,5,Guwahati,Assam,246.01,122.28,24.6,66.1,55,Alluvial,5,0
2017,5,Guwahati,Assam,85.32,29.14,26.0,76.1,55,Alluvial,5,0
2018,5,Guwahati,Assam,576.9,156.29,23.2,83.9,55,Alluvial,5,1
2019,5,Guwahati,Assam,366.21,109.37,26.9,82.6,55,Alluvial,5,1
2020,5,Guwahati,Assam,308.73,106.7,26.7,96.3,55,Alluvial,5,1
2021,5,Guwahati,Assam,179.84,54.66,27.7,60.2,55,Alluvial,5,0
2022,5,Guwahati,Assam,58.53,27.06,27.1,61.2,55,Alluvial,5,0
2023,5,Guwahati,Assam,394.01,131.74,25.2,100.0,55,Alluvial,5,1
2024,5,Guwahati,Assam,263.23,109.26,25.9,57.1,55,Alluvial,5,0
2025,5,Guwahati,Assam,281.09,78.87,28.7,86.2,55,Alluvial,5,1
2015,6,Guwahati,Assam,390.95,159.64,24.8,73.7,55,Alluvial,5,1
2016,6,Guwahati,Assam,69.04,34.05,24.0,87.5,55,Alluvial,5,1
2017,6,Guwahati,Assam,10.0,3.55,24.8,61.1,55,Alluvial,5,0
2018,6,Guwahati,Assam,524.27,121.98,25.7,84.0,55,Alluvial,5,1
2019,6,Guwahati,Assam,264.2,80.8,23.3,56.9,55,Alluvial,5,0
2020,6,Guwahati,Assam,142.32,54.1,24.8,81.5,55,Alluvial,5,1
2021,6,Guwahati,Assam,347.71,126.57,29.9,71.5,55,Alluvial,5,1
2022,6,Guwahati,Assam,87.27,34.0,23.2,79.9,55,Alluvial,5,0
2023,6,Guwahati,Assam,224.9,47.31,26.3,72.5,55,Alluvial,5,0
2024,6,Guwahati,Assam,326.51,96.94,25.0,92.4,55,Alluvial,5,1
2025,6,Guwahati,Assam,107.22,25.76,26.3,53.7,55,Alluvial,5,0
2015,7,Guwahati,Assam,51.58,21.44,25.7,57.4,55,Alluvial,5,0
2016,7,Guwahati,Assam,129.82,54.64,25.1,88.1,55,Alluvial,5,0
2017,7,Guwahati,Assam,209.24,99.26,23.4,70.5,55,Alluvial,5,1
2018,7,Guwahati,Assam,87.34,37.84,29.9,53.9,55,Alluvial,5,0
2019,7,Guwahati,Assam,18.14,7.28,23.4,69.4,55,Alluvial,5,0
2020,7,Guwahati,Assam,363.36,135.01,25.5,77.9,55,Alluvial,5,1
2021,7,Guwahati,Assam,21.09,5.12,23.4,81.3,55,Alluvial,5,0
2022,7,Guwahati,Assam,52.58,14.24,30.5,54.5,55,Alluvial,5,0
2023,7,Guwahati,Assam,191.2,53.45,25.2,31.9,55,Alluvial,5,0
2024,7,Guwahati,Assam,292.91,91.25,29.0,88.9,55,Alluvial,5,1
2025,7,Guwahati,Assam,47.45,15.74,26.1,63.9,55,Alluvial,5,0
2015,8,Guwahati,Assam,237.74,76.86,24.8,86.5,55,Alluvial,5,1
2016,8,Guwahati,Assam,10.0,4.65,25.6,56.7,55,Alluvial,5,0
2017,8,Guwahati,Assam,19.17,7.62,23.3,69.0,55,Alluvial,5,1
2018,8,Guwahati,Assam,131.44,54.65,28.6,66.7,55,Alluvial,5,0
2019,8,Guwahati,Assam,10.45,2.14,26.6,46.1,55,Alluvial,5,0
2020,8,Guwahati,Assam,10.0,2.57,24.2,53.6,55,Alluvial,5,0
2021,8,Guwahati,Assam,88.33,20.33,28.3,46.6,55,Alluvial,5,0
2022,8,Guwahati,Assam,422.43,110.99,25.9,81.7,55,Alluvial,5,1
2023,8,Guwahati,Assam,252.91,67.86,23.4,58.8,55,Alluvial,5,0
2024,8,Guwahati,Assam,193.43,80.62,23.1,73.1,55,Alluvial,5,1
2025,8,Guwahati,Assam,10.0,4.01,29.9,68.8,55,Alluvial,5,0
2015,9,Guwahati,Assam,186.71,78.86,26.6,85.7,55,Alluvial,5,1
2016,9,Guwahati,Assam,341.8,147.62,27.6,82.7,55,Alluvial,5,1
2017,9,Guwahati,Assam,148.23,51.5,28.5,57.4,55,Alluvial,5,0
2018,9,Guwahati,Assam,215.35,88.62,23.3,91.7,55,Alluvial,5,1
2019,9,Guwahati,Assam,157.71,68.88,25.7,91.9,55,Alluvial,5,0
2020,9,Guwahati,Assam,140.76,29.34,22.9,62.8,55,Alluvial,5,0
2021,9,Guwahati,Assam,182.1,53.18,23.6,60.4,55,Alluvial,5,0
2022,9,Guwahati,Assam,249.26,59.94,26.3,89.9,55,Alluvial,5,1
2023,9,Guwahati,Assam,158.57,42.08,25.8,69.0,55,Alluvial,5,0
2024,9,Guwahati,Assam,106.99,21.88,24.5,64.4,55,Alluvial,5,0
2025,9,Guwahati,Assam,276.62,90.15,24.4,75.9,55,Alluvial,5,1
2015,10,Guwahati,Assam,95.67,23.03,31.9,91.5,55,Alluvial,5,1
2016,10,Guwahati,Assam,212.88,45.64,31.4,55.8,55,Alluvial,5,0
2017,10,Guwahati,Assam,265.32,104.02,32.9,89.1,55,Alluvial,5,0
2018,10,Guwahati,Assam,10.0,3.33,29.0,77.2,55,Alluvial,5,0
2019,10,Guwahati,Assam,124.89,43.74,26.2,60.4,55,Alluvial,5,0
2020,10,Guwahati,Assam,22.97,8.87,31.5,94.4,55,Alluvial,5,0
2021,10,Guwahati,Assam,67.2,25.69,33.5,47.0,55,Alluvial,5,0
2022,10,Guwahati,Assam,34.61,11.33,29.6,66.0,55,Alluvial,5,0
2023,10,Guwahati,Assam,150.1,39.29,28.5,73.7,55,Alluvial,5,0
2024,10,Guwahati,Assam,10.0,2.87,29.2,58.4,55,Alluvial,5,0
2025,10,Guwahati,Assam,139.15,61.18,32.4,56.1,55,Alluvial,5,0
2015,11,Guwahati,Assam,349.67,98.22,26.2,97.5,55,Alluvial,5,1
2016,11,Guwahati,Assam,50.43,15.42,32.4,57.0,55,Alluvial,5,0
2017,11,Guwahati,Assam,298.67,72.24,33.7,60.8,55,Alluvial,5,0
2018,11,Guwahati,Assam,193.03,48.88,33.0,48.2,55,Alluvial,5,0
2019,11,Guwahati,Assam,10.0,4.43,32.2,77.1,55,Alluvial,5,0
2020,11,Guwahati,Assam,257.8,112.0,26.6,59.2,55,Alluvial,5,0
2021,11,Guwahati,Assam,295.8,107.5,31.8,69.3,55,Alluvial,5,0
2022,11,Guwahati,Assam,21.43,6.64,28.2,94.1,55,Alluvial,5,0
2023,11,Guwahati,Assam,406.7,89.03,32.4,68.9,55,Alluvial,5,0
2024,11,Guwahati,Assam,163.95,80.67,28.2,74.3,55,Alluvial,5,0
2025,11,Guwahati,Assam,212.49,64.46,31.3,41.0,55,Alluvial,5,0
2015,12,Guwahati,Assam,226.51,51.99,26.9,57.2,55,Alluvial,5,1
2016,12,Guwahati,Assam,98.33,26.22,31.3,99.6,55,Alluvial,5,0
2017,12,Guwahati,Assam,69.78,14.48,29.6,77.2,55,Alluvial,5,0
2018,12,Guwahati,Assam,147.52,33.01,29.8,47.1,55,Alluvial,5,0
2019,12,Guwahati,Assam,25.78,5.46,28.5,48.4,55,Alluvial,5,0
2020,12,Guwahati,Assam,12.93,2.85,31.8,53.3,55,Alluvial,5,0
2021,12,Guwahati,Assam,10.0,3.95,32.1,74.5,55,Alluvial,5,0
2022,12,Guwahati,Assam,320.31,148.88,27.0,51.5,55,Alluvial,5,0
2023,12,Guwahati,Assam,295.03,113.8,30.2,73.7,55,Alluvial,5,0
2024,12,Guwahati,Assam,91.76,29.6,31.5,47.6,55,Alluvial,5,0
2025,12,Guwahati,Assam,106.9,29.98,32.8,47.0,55,Alluvial,5,0
2015,1,Kolkata,West Bengal,203.13,85.48,27.1,53.7,9,Clayey,1,0
2016,1,Kolkata,West Bengal,46.41,13.3,29.3,62.9,9,Clayey,1,0
2017,1,Kolkata,West Bengal,10.0,4.53,26.0,50.2,9,Clayey,1,0
2018,1,Kolkata,West Bengal,239.59,52.01,28.2,43.6,9,Clayey,1,0
2019,1,Kolkata,West Bengal,158.97,74.27,27.0,80.1,9,Clayey,1,0
2020,1,Kolkata,West Bengal,79.16,29.22,26.8,64.2,9,Clayey,1,0
2021,1,Kolkata,West Bengal,214.73,66.49,26.8,91.3,9,Clayey,1,1
2022,1,Kolkata,West Bengal,20.21,5.96,27.6,54.4,9,Clayey,1,0
2023,1,Kolkata,West Bengal,138.95,43.06,28.7,53.1,9,Clayey,1,0
2024,1,Kolkata,West Bengal,281.28,122.01,32.9,41.2,9,Clayey,1,0
2025,1,Kolkata,West Bengal,95.27,45.7,26.1,41.6,9,Clayey,1,0
2015,2,Kolkata,West Bengal,94.29,27.95,26.3,43.0,9,Clayey,1,1
2016,2,Kolkata,West Bengal,10.0,3.09,28.3,60.4,9,Clayey,1,0
2017,2,Kolkata,West Bengal,10.0,3.17,33.0,60.2,9,Clayey,1,0
2018,2,Kolkata,West Bengal,34.18,9.23,32.7,56.5,9,Clayey,1,0
2019,2,Kolkata,West Bengal,295.83,77.35,29.6,59.0,9,Clayey,1,0
2020,2,Kolkata,West Bengal,216.66,82.08,28.8,65.9,9,Clayey,1,0
2021,2,Kolkata,West Bengal,17.08,6.17,26.9,59.6,9,Clayey,1,0
2022,2,Kolkata,West Bengal,234.44,74.23,27.5,56.3,9,Clayey,1,0
2023,2,Kolkata,West Bengal,252.47,118.0,33.3,26.9,9,Clayey,1,0
2024,2,Kolkata,West Bengal,23.86,6.68,29.8,30.9,9,Clayey,1,0
2025,2,Kolkata,West Bengal,62.39,26.55,28.5,61.6,9,Clayey,1,0
2015,3,Kolkata,West Bengal,125.18,58.54,30.0,84.1,9,Clayey,1,0
2016,3,Kolkata,West Bengal,91.77,38.91,32.9,77.7,9,Clayey,1,0
2017,3,Kolkata,West Bengal,271.82,124.64,28.3,83.8,9,Clayey,1,1
2018,3,Kolkata,West Bengal,221.41,78.33,30.1,83.9,9,Clayey,1,1
2019,3,Kolkata,West Bengal,96.85,29.71,31.4,60.6,9,Clayey,1,0
2020,3,Kolkata,West Bengal,167.86,47.7,29.1,47.6,9,Clayey,1,0
2021,3,Kolkata,West Bengal,10.0,3.42,33.0,56.5,9,Clayey,1,0
2022,3,Kolkata,West Bengal,10.0,3.94,27.2,58.2,9,Clayey,1,0
2023,3,Kolkata,West Bengal,357.06,92.9,34.0,84.9,9,Clayey,1,1
2024,3,Kolkata,West Bengal,70.71,29.44,27.1,53.9,9,Clayey,1,0
2025,3,Kolkata,West Bengal,10.0,3.4,29.0,77.0,9,Clayey,1,0
2015,4,Kolkata,West Bengal,80.07,27.07,29.6,60.9,9,Clayey,1,0
2016,4,Kolkata,West Bengal,303.78,121.32,31.8,90.6,9,Clayey,1,1
2017,4,Kolkata,West Bengal,78.63,28.64,26.8,63.1,9,Clayey,1,0
2018,4,Kolkata,West Bengal,128.0,40.03,33.1,91.8,9,Clayey,1,0
2019,4,Kolkata,West Bengal,241.1,111.05,31.2,46.0,9,Clayey,1,0
2020,4,Kolkata,West Bengal,102.79,23.2,27.3,48.5,9,Clayey,1,0
2021,4,Kolkata,West Bengal,44.79,9.6,28.9,59.2,9,Clayey,1,0
2022,4,Kolkata,West Bengal,139.78,56.27,27.7,55.1,9,Clayey,1,0
2023,4,Kolkata,West Bengal,87.3,31.84,28.7,52.2,9,Clayey,1,0
2024,4,Kolkata,West Bengal,212.68,53.14,30.5,69.2,9,Clayey,1,0
2025,4,Kolkata,West Bengal,390.69,110.5,30.6,94.5,9,Clayey,1,1
2015,5,Kolkata,West Bengal,18.85,6.48,29.2,43.0,9,Clayey,1,0
2016,5,Kolkata,West Bengal,188.24,76.06,33.3,40.8,9,Clayey,1,0
2017,5,Kolkata,West Bengal,148.59,56.79,29.6,51.5,9,Clayey,1,0
2018,5,Kolkata,West Bengal,10.0,4.38,30.7,65.6,9,Clayey,1,0
2019,5,Kolkata,West Bengal,175.13,50.42,33.8,54.5,9,Clayey,1,0
2020,5,Kolkata,West Bengal,298.05,147.78,29.1,82.0,9,Clayey,1,1
2021,5,Kolkata,West Bengal,166.89,41.78,33.3,81.5,9,Clayey,1,1
2022,5,Kolkata,West Bengal,399.78,144.44,27.3,76.2,9,Clayey,1,1
2023,5,Kolkata,West Bengal,171.8,39.3,26.8,54.6,9,Clayey,1,0
2024,5,Kolkata,West Bengal,250.55,52.16,33.9,30.2,9,Clayey,1,0
2025,5,Kolkata,West Bengal,178.44,80.67,31.3,57.5,9,Clayey,1,0
2015,6,Kolkata,West Bengal,427.38,88.72,30.7,95.6,9,Clayey,1,1
2016,6,Kolkata,West Bengal,102.76,24.85,24.6,42.6,9,Clayey,1,0
2017,6,Kolkata,West Bengal,314.01,139.76,24.6,81.2,9,Clayey,1,1
2018,6,Kolkata,West Bengal,123.32,47.05,28.4,76.3,9,Clayey,1,1
2019,6,Kolkata,West Bengal,300.07,126.2,27.6,72.5,9,Clayey,1,1
2020,6,Kolkata,West Bengal,310.94,63.01,29.1,74.8,9,Clayey,1,1
2021,6,Kolkata,West Bengal,182.79,68.67,23.4,48.2,9,Clayey,1,0
2022,6,Kolkata,West Bengal,10.0,4.19,28.6,56.3,9,Clayey,1,0
2023,6,Kolkata,West Bengal,90.01,44.28,29.5,79.1,9,Clayey,1,0
2024,6,Kolkata,West Bengal,187.57,61.98,26.3,89.5,9,Clayey,1,1
2025,6,Kolkata,West Bengal,135.33,62.65,23.1,91.7,9,Clayey,1,1
2015,7,Kolkata,West Bengal,10.0,4.64,24.7,72.3,9,Clayey,1,0
2016,7,Kolkata,West Bengal,246.63,78.46,26.9,65.9,9,Clayey,1,0
2017,7,Kolkata,West Bengal,155.61,33.96,28.7,31.7,9,Clayey,1,0
2018,7,Kolkata,West Bengal,292.57,62.61,28.8,83.4,9,Clayey,1,1
2019,7,Kolkata,West Bengal,318.9,140.34,27.8,100.0,9,Clayey,1,1
2020,7,Kolkata,West Bengal,61.14,19.16,27.6,56.9,9,Clayey,1,0
2021,7,Kolkata,West Bengal,59.95,18.51,28.9,41.4,9,Clayey,1,0
2022,7,Kolkata,West Bengal,10.0,3.59,26.3,41.7,9,Clayey,1,0
2023,7,Kolkata,West Bengal,189.34,81.01,29.9,68.0,9,Clayey,1,1
2024,7,Kolkata,West Bengal,562.56,176.72,27.3,77.6,9,Clayey,1,1
2025,7,Kolkata,West Bengal,513.14,182.15,24.4,83.8,9,Clayey,1,1
2015,8,Kolkata,West Bengal,22.08,10.28,27.3,62.2,9,Clayey,1,0
2016,8,Kolkata,West Bengal,118.93,55.74,28.8,80.3,9,Clayey,1,1
2017,8,Kolkata,West Bengal,105.78,31.89,27.8,89.2,9,Clayey,1,0
2018,8,Kolkata,West Bengal,359.76,83.56,30.9,76.5,9,Clayey,1,1
2019,8,Kolkata,West Bengal,408.01,196.28,25.6,90.2,9,Clayey,1,1
2020,8,Kolkata,West Bengal,278.85,119.11,28.9,77.1,9,Clayey,1,1
2021,8,Kolkata,West Bengal,62.97,18.32,26.6,61.6,9,Clayey,1,0
2022,8,Kolkata,West Bengal,197.95,75.57,24.7,62.5,9,Clayey,1,0
2023,8,Kolkata,West Bengal,103.35,39.44,28.2,59.8,9,Clayey,1,0
2024,8,Kolkata,West Bengal,273.18,100.22,28.2,72.3,9,Clayey,1,0
2025,8,Kolkata,West Bengal,194.75,80.37,29.1,73.9,9,Clayey,1,0
2015,9,Kolkata,West Bengal,182.28,72.36,28.3,61.4,9,Clayey,1,0
2016,9,Kolkata,West Bengal,207.55,87.43,27.7,79.8,9,Clayey,1,1
2017,9,Kolkata,West Bengal,85.87,21.0,26.9,42.0,9,Clayey,1,0
2018,9,Kolkata,West Bengal,424.31,102.6,25.3,90.4,9,Clayey,1,1
2019,9,Kolkata,West Bengal,131.28,34.85,27.6,57.7,9,Clayey,1,0
2020,9,Kolkata,West Bengal,369.23,138.67,29.5,79.3,9,Clayey,1,1
2021,9,Kolkata,West Bengal,314.51,130.85,23.5,88.5,9,Clayey,1,1
2022,9,Kolkata,West Bengal,244.01,105.02,24.7,81.4,9,Clayey,1,1
2023,9,Kolkata,West Bengal,213.87,66.99,30.8,62.5,9,Clayey,1,0
2024,9,Kolkata,West Bengal,55.67,26.31,23.3,73.6,9,Clayey,1,0
2025,9,Kolkata,West Bengal,321.91,148.25,24.6,64.9,9,Clayey,1,1
2015,10,Kolkata,West Bengal,192.88,60.22,27.7,76.1,9,Clayey,1,0
